joongboo,murder,occurrence,2
joongboo,murder,arrest,2
joongboo,robber,occurrence,3
joongboo,robber,arrest,3
joongboo,rape,occurrence,141
joongboo,rape,arrest,96
joongboo,theft,occurrence,1204
joongboo,theft,arrest,485
joongboo,violence,occurrence,1335
joongboo,violence,arrest,1164
jongno,murder,occurrence,4
jongno,murder,arrest,0
jongno,robber,occurrence,6
jongno,robber,arrest,3
jongno,rape,occurrence,137
jongno,rape,arrest,113
jongno,theft,occurrence,952
jongno,theft,arrest,389
jongno,violence,occurrence,1291
jongno,violence,arrest,1135
namdaemoon,murder,occurrence,1
namdaemoon,murder,arrest,1
namdaemoon,robber,occurrence,5
namdaemoon,robber,arrest,4
namdaemoon,rape,occurrence,57
namdaemoon,rape,arrest,52
namdaemoon,theft,occurrence,946
namdaemoon,theft,arrest,429
namdaemoon,violence,occurrence,890
namdaemoon,violence,arrest,832
seodaemoon,murder,occurrence,6
seodaemoon,murder,arrest,7
seodaemoon,robber,occurrence,5
seodaemoon,robber,arrest,4
seodaemoon,rape,occurrence,175
seodaemoon,rape,arrest,147
seodaemoon,theft,occurrence,1503
seodaemoon,theft,arrest,752
seodaemoon,violence,occurrence,1976
seodaemoon,violence,arrest,1644
hehwa,murder,occurrence,2
hehwa,murder,arrest,2
hehwa,robber,occurrence,6
hehwa,robber,arrest,6
hehwa,rape,occurrence,101
hehwa,rape,arrest,64
hehwa,theft,occurrence,988
hehwa,theft,arrest,379
hehwa,violence,occurrence,972
hehwa,violence,arrest,842
yongsan,murder,occurrence,4
yongsan,murder,arrest,4
yongsan,robber,occurrence,9
yongsan,robber,arrest,10
yongsan,rape,occurrence,251
yongsan,rape,arrest,214
yongsan,theft,occurrence,1489
yongsan,theft,arrest,599
yongsan,violence,occurrence,2384
yongsan,violence,arrest,2008
seongbook,murder,occurrence,2
seongbook,murder,arrest,2
seongbook,robber,occurrence,3
seongbook,robber,arrest,3
seongbook,rape,occurrence,103
seongbook,rape,arrest,75
seongbook,theft,occurrence,790
seongbook,theft,arrest,381
seongbook,violence,occurrence,1176
seongbook,violence,arrest,1004
dongdaemoon,murder,occurrence,5
dongdaemoon,murder,arrest,5
dongdaemoon,robber,occurrence,10
dongdaemoon,robber,arrest,12
dongdaemoon,rape,occurrence,190
dongdaemoon,rape,arrest,158
dongdaemoon,theft,occurrence,1940
dongdaemoon,theft,arrest,1071
dongdaemoon,violence,occurrence,2642
dongdaemoon,violence,arrest,2377
mapo,murder,occurrence,4
mapo,murder,arrest,4
mapo,robber,occurrence,4
mapo,robber,arrest,7
mapo,rape,occurrence,399
mapo,rape,arrest,320
mapo,theft,occurrence,2527
mapo,theft,arrest,940
mapo,violence,occurrence,2939
mapo,violence,arrest,2500
yeongdeungpo,murder,occurrence,13
yeongdeungpo,murder,arrest,13
yeongdeungpo,robber,occurrence,19
yeongdeungpo,robber,arrest,14
yeongdeungpo,rape,occurrence,356
yeongdeungpo,rape,arrest,225
yeongdeungpo,theft,occurrence,2341
yeongdeungpo,theft,arrest,940
yeongdeungpo,violence,occurrence,3593
yeongdeungpo,violence,arrest,3007
seongdong,murder,occurrence,4
seongdong,murder,arrest,5
seongdong,robber,occurrence,3
seongdong,robber,arrest,5
seongdong,rape,occurrence,104
seongdong,rape,arrest,78
seongdong,theft,occurrence,1296
seongdong,theft,arrest,896
seongdong,violence,occurrence,1619
seongdong,violence,arrest,1408
dongjak,murder,occurrence,8
dongjak,murder,arrest,6
dongjak,robber,occurrence,7
dongjak,robber,arrest,7
dongjak,rape,occurrence,325
dongjak,rape,arrest,149
dongjak,theft,occurrence,1226
dongjak,theft,arrest,554
dongjak,violence,occurrence,1661
dongjak,violence,arrest,1444
gwangjin,murder,occurrence,4
gwangjin,murder,arrest,4
gwangjin,robber,occurrence,11
gwangjin,robber,arrest,6
gwangjin,rape,occurrence,279
gwangjin,rape,arrest,234
gwangjin,theft,occurrence,2636
gwangjin,theft,arrest,1057
gwangjin,violence,occurrence,2392
gwangjin,violence,arrest,2011
seoboo,murder,occurrence,4
seoboo,murder,arrest,4
seoboo,robber,occurrence,4
seoboo,robber,arrest,2
seoboo,rape,occurrence,54
seoboo,rape,arrest,49
seoboo,theft,occurrence,781
seoboo,theft,arrest,389
seoboo,violence,occurrence,1128
seoboo,violence,arrest,980
gangbook,murder,occurrence,7
gangbook,murder,arrest,6
gangbook,robber,occurrence,5
gangbook,robber,arrest,4
gangbook,rape,occurrence,217
gangbook,rape,arrest,159
gangbook,theft,occurrence,1222
gangbook,theft,arrest,672
gangbook,violence,occurrence,2778
gangbook,violence,arrest,2482
geumcheon,murder,occurrence,6
geumcheon,murder,arrest,6
geumcheon,robber,occurrence,7
geumcheon,robber,arrest,7
geumcheon,rape,occurrence,175
geumcheon,rape,arrest,143
geumcheon,theft,occurrence,1264
geumcheon,theft,arrest,654
geumcheon,violence,occurrence,2193
geumcheon,violence,arrest,1946
joonglang,murder,occurrence,8
joonglang,murder,arrest,7
joonglang,robber,occurrence,14
joonglang,robber,arrest,14
joonglang,rape,occurrence,164
joonglang,rape,arrest,150
joonglang,theft,occurrence,1691
joonglang,theft,arrest,1052
joonglang,violence,occurrence,3164
joonglang,violence,arrest,2712
gangnam,murder,occurrence,3
gangnam,murder,arrest,3
gangnam,robber,occurrence,24
gangnam,robber,arrest,26
gangnam,rape,occurrence,339
gangnam,rape,arrest,269
gangnam,theft,occurrence,2438
gangnam,theft,arrest,1129
gangnam,violence,occurrence,2336
gangnam,violence,arrest,2096
gwanak,murder,occurrence,6
gwanak,murder,arrest,7
gwanak,robber,occurrence,12
gwanak,robber,arrest,10
gwanak,rape,occurrence,322
gwanak,rape,arrest,264
gwanak,theft,occurrence,2103
gwanak,theft,arrest,937
gwanak,violence,occurrence,3235
gwanak,violence,arrest,2707
gangseo,murder,occurrence,9
gangseo,murder,arrest,10
gangseo,robber,occurrence,10
gangseo,robber,arrest,10
gangseo,rape,occurrence,275
gangseo,rape,arrest,239
gangseo,theft,occurrence,1952
gangseo,theft,arrest,1070
gangseo,violence,occurrence,3204
gangseo,violence,arrest,2768
gangdong,murder,occurrence,4
gangdong,murder,arrest,5
gangdong,robber,occurrence,14
gangdong,robber,arrest,13
gangdong,rape,occurrence,160
gangdong,rape,arrest,152
gangdong,theft,occurrence,1754
gangdong,theft,arrest,902
gangdong,violence,occurrence,2530
gangdong,violence,arrest,2201
jongam,murder,occurrence,2
jongam,murder,arrest,1
jongam,robber,occurrence,5
jongam,robber,arrest,5
jongam,rape,occurrence,51
jongam,rape,arrest,42
jongam,theft,occurrence,680
jongam,theft,arrest,344
jongam,violence,occurrence,932
jongam,violence,arrest,815
guro,murder,occurrence,9
guro,murder,arrest,9
guro,robber,occurrence,10
guro,robber,arrest,13
guro,rape,occurrence,273
guro,rape,arrest,181
guro,theft,occurrence,1910
guro,theft,arrest,861
guro,violence,occurrence,3164
guro,violence,arrest,2680
seocho,murder,occurrence,4
seocho,murder,arrest,4
seocho,robber,occurrence,9
seocho,robber,arrest,5
seocho,rape,occurrence,350
seocho,rape,arrest,220
seocho,theft,occurrence,1733
seocho,theft,arrest,814
seocho,violence,occurrence,1838
seocho,violence,arrest,1583
yangcheon,murder,occurrence,5
yangcheon,murder,arrest,5
yangcheon,robber,occurrence,7
yangcheon,robber,arrest,7
yangcheon,rape,occurrence,131
yangcheon,rape,arrest,108
yangcheon,theft,occurrence,1719
yangcheon,theft,arrest,755
yangcheon,violence,occurrence,2250
yangcheon,violence,arrest,1918
songpa,murder,occurrence,9
songpa,murder,arrest,8
songpa,robber,occurrence,15
songpa,robber,arrest,12
songpa,rape,occurrence,234
songpa,rape,arrest,184
songpa,theft,occurrence,2543
songpa,theft,arrest,1048
songpa,violence,occurrence,3289
songpa,violence,arrest,2808
nowon,murder,occurrence,5
nowon,murder,arrest,6
nowon,robber,occurrence,6
nowon,robber,arrest,9
nowon,rape,occurrence,159
nowon,rape,arrest,142
nowon,theft,occurrence,1857
nowon,theft,arrest,740
nowon,violence,occurrence,2516
nowon,violence,arrest,2124
bangbae,murder,occurrence,1
bangbae,murder,arrest,1
bangbae,robber,occurrence,4
bangbae,robber,arrest,5
bangbae,rape,occurrence,78
bangbae,rape,arrest,51
bangbae,theft,occurrence,472
bangbae,theft,arrest,293
bangbae,violence,occurrence,500
bangbae,violence,arrest,446
eunpyeong,murder,occurrence,2
eunpyeong,murder,arrest,2
eunpyeong,robber,occurrence,5
eunpyeong,robber,arrest,5
eunpyeong,rape,occurrence,102
eunpyeong,rape,arrest,93
eunpyeong,theft,occurrence,885
eunpyeong,theft,arrest,501
eunpyeong,violence,occurrence,1536
eunpyeong,violence,arrest,1328
dobong,murder,occurrence,3
dobong,murder,arrest,3
dobong,robber,occurrence,5
dobong,robber,arrest,5
dobong,rape,occurrence,123
dobong,rape,arrest,121
dobong,theft,occurrence,866
dobong,theft,arrest,492
dobong,violence,occurrence,1441
dobong,violence,arrest,1309
suseo,murder,occurrence,2
suseo,murder,arrest,2
suseo,robber,occurrence,15
suseo,robber,arrest,16
suseo,rape,occurrence,177
suseo,rape,arrest,144
suseo,theft,occurrence,1149
suseo,theft,arrest,789
suseo,violence,occurrence,1666
suseo,violence,arrest,1431
