custon,gambling,"13,446",702,"1,669",1,119,,5,6,,122,97,180,504,"2,563",18,1,40,1,,2,14,26,2,6,4,3,19,1,6,,,7,,664,"6,664"
special_economy,special_economy,"65,025","1,620","2,050",9,"3,941",51,343,"1,114",24,"1,941",906,446,"6,309","10,239",584,302,35,179,28,142,42,57,132,"1,713",635,87,95,9,2,1,2,174,3,230,"31,580"
drug,drug,"7,329",635,"1,446",22,"1,746",1,2,14,2,81,28,"1,059",205,263,22,5,,100,1,169,6,11,3,40,182,4,218,21,,,3,113,56,20,851
health,health,"14,662",836,266,5,656,4,134,65,16,"1,190",481,205,"3,074","1,500",223,5,94,16,2,6,2,25,2,4,"1,096",10,148,495,2,,6,25,2,40,"4,027"
environmental,environmental,"4,349",11,24,2,322,,,,,29,7,18,63,144,814,347,13,18,,11,3,3,4,,10,,244,"1,508",1,,20,9,,,724
traffic,traffic,"600,401",96,40,"3,516","587,582",1,5,5,,39,80,4,9,83,7,19,2,16,1,56,4,5,3,1,12,,60,97,,,6,"1,592",,,"7,060"
work,work,"2,457",7,27,,57,1,,5,,6,8,9,166,"1,571",45,51,,4,,6,,,,2,5,,4,69,,,,1,,,413
security,security,81,7,4,,11,,,,,,,1,1,22,1,,,,,1,,,2,,,,,,1,,,,,2,28
election,election,"1,018",26,26,,202,2,,,,8,10,3,66,294,1,,,8,4,2,2,6,12,4,2,9,2,,,,,1,1,,327
military,military,"16,651","1,468","3,663",1,511,,,,,16,3,53,3,"1,454",2,,,11,,,2,40,19,1,11,1,10,,"2,945",,1,,,2,"6,434"
etc,etc,"260,539","13,056","12,469",640,"65,372",66,637,"1,695",59,"2,959","1,722","4,754","15,951","24,860","2,301","1,825",759,680,128,"1,452",250,641,"1,159",605,"1,869",488,"2,970","13,249",71,21,74,"1,827",115,"1,577","84,238"
